articulo,parrafo,titulo,texto,categoría,medio,fecha,autor,sección
1,1,Volver a coger,"Los voceros del desastre llevan años señalando con el dedo el abismo hacia el que caminan sin remedio muchos de los placeres y muchas de las antiguas formas de la civilización anterior a internet y a los teléfonos inteligentes y las tabletas y demás. Como dijo el gitano Melquíades en una de sus primeras visitas a Macondo: “Dentro de poco, el hombre podrá ver lo que ocurre en cualquier lugar de la Tierra, sin moverse de su casa…”.",Opinión,El Tiempo,11/26/2015,Juan Esteban Constaín,Opinión
1,2,Volver a coger,"Se nos advirtió, por ejemplo, que el libro de papel estaba condenado a desaparecer y que el triunfo inequívoco de lo digital y lo electrónico estaba resultando tan arrollador y tan contundente que lo mejor era irse acostumbrando a que ese mundo —el mundo todo, el futuro— sucediera solo dentro de una pantalla, mientras todos lo vamos pasando de un lado para el otro con el dedo, como los bebés.",Opinión,El Tiempo,11/26/2015,Juan Esteban Constaín,Opinión
1,3,Volver a coger,"Claro: siempre que aparecía un nuevo invento la ‘civilización del libro’, como la han llamado muchos, y no sin razón, se sentía amenazada y sus defensores tocaban a rebato para protegerla como si fuera una fortaleza bajo fuego. Eso pasó cuando llegaron la radio o la televisión: que la gente creía que en ellas habría una distracción tan grande para la lectura que muy pronto nuestra especie iba a hundirse para siempre en la alcantarilla de la ignorancia y la levedad.",Opinión,El Tiempo,11/26/2015,Juan Esteban Constaín,Opinión
1,4,Volver a coger,"Lo mismo ocurrió con la aparición del libro electrónico y en general con toda la revolución que han significado internet y lo digital y este mundo cada vez más pequeño y abocado a sus aparatos que lo cuentan y lo explican y lo conectan, sin que uno tenga que salir siquiera de su casa para estar al otro lado de la Tierra, como se lo prometió el brujo Melquíades a José Arcadio Buendía ese mediodía de marzo en Macondo.",Opinión,El Tiempo,11/26/2015,Juan Esteban Constaín,Opinión
1,5,Volver a coger,"Pero esta vez, con las tabletas y los computadores y los teléfonos y demás, el peligro sí parecía en serio, y muy cerca de los libros, en el ámbito de la música y los discos, hubo un primer anuncio de lo que les corría pierna arriba a los ‘soportes’ tradicionales de la información, la cultura y el entretenimiento. Porque mucha gente que antes compraba discos a granel dejó de hacerlo, y todo para poder metérselos ahora en los bolsillos.",Opinión,El Tiempo,11/26/2015,Juan Esteban Constaín,Opinión
1,6,Volver a coger,"No pasó mucho tiempo antes de que también las editoriales empezaran a ver con horror sus balances, mientras muchas librerías en el mundo tenían que cerrar sus puertas y sus páginas e irse con su música para otra parte. El panorama era desolador, y en un momento, hace de eso no tanto, pareció de verdad como si los profetas de la catástrofe hubieran acertado en sus augurios.",Opinión,El Tiempo,11/26/2015,Juan Esteban Constaín,Opinión
1,7,Volver a coger,"Sin embargo ya el vendaval está cediendo y las aguas están volviendo a su cauce. Hubo tormenta y el viento se llevó las hojas de los árboles y casi los arranca enteros de raíz, sí. Pero ya está pasando y quizás eso era lo que había que hacer: aguantar colgados del mástil, como en un barco; aferrarse a la madera y a las jarcias y esperar a que se aquietara el mar. Confiar en el tiempo y su implacable cernidor.",Opinión,El Tiempo,11/26/2015,Juan Esteban Constaín,Opinión
1,8,Volver a coger,"Y lo que ha terminado por ocurrir es lo que muchos optimistas previeron también, y es que al final, más que un dilema entre los dos mundos, el digital y el de antes, lo que hay es una síntesis y un complemento. Y muchas de las maravillas de lo nuevo han servido sobre todo para valorar más las maravillas de lo viejo. Como ha pasado con los discos de vinilo, que están otra vez en furor gracias a que suenan mejor y a que se compran por internet.",Opinión,El Tiempo,11/26/2015,Juan Esteban Constaín,Opinión
1,9,Volver a coger,"Ahora leo la noticia alentadora de que Amazon, la célebre tienda virtual, acaba de abrir en Seattle su propia librería de verdad. Una como las de siempre, con techo y goteras y gente adentro.",Opinión,El Tiempo,11/26/2015,Juan Esteban Constaín,Opinión
1,10,Volver a coger,"Una librería con libros de papel, porque a veces nada tiene más futuro que el pasado.",Opinión,El Tiempo,11/26/2015,Juan Esteban Constaín,Opinión
2,1,La recordación es mayor cuando se leen impresos,Estudios señalan que cuando una persona lee en línea se activan partes del cerebro distintas a las que se encienden cuando lee un libro.,Lectura,El Tiempo,6/20/2015,NA,Debes Saber
2,2,La recordación es mayor cuando se leen impresos,"Nunca será lo mismo leer información en un impreso a leerla en la web. Son procesos distintos, según afirman varios estudios, entre estos uno realizado por Jakob Nielsen, ex-investigador de Apple Computer, quien concluyó que los usuarios de internet no realizan una lectura lineal, sino que escanean la pantalla. Además, la investigación determinó que las personas leen menos del 20 por ciento del contenido que hay en línea.",Lectura,El Tiempo,6/20/2015,NA,Debes Saber
2,3,La recordación es mayor cuando se leen impresos,"Por su parte, una investigación de la Universidad de Houston encontró que cuando una persona lee en línea se activan partes del cerebro distintas a las que se encienden cuando lee un libro; de hecho, este informe, luego de analizar la capacidad de recordación de la información entre un grupo de sujetos que leyó un impreso y otro que leyó lo mismo en línea, concluyó que los lectores de periódicos recuerdan más detalles de las noticias que aquellos que se informan por la red.",Lectura,El Tiempo,6/20/2015,NA,Debes Saber
2,4,La recordación es mayor cuando se leen impresos,"La razón de esto, explicó Arthur D. Santana, autor de la investigación de la Universidad de Houston, es que, por la naturaleza misma de la web, la información es efímera y quienes la leen no lo hacen de una forma metódica. “También confiamos en que la noticia se encontrará al mismo tiempo en otros lugares de internet, almacenada electrónicamente, y por tanto resultará fácilmente recuperable, lo que evita sentir que necesitamos recordarla. Además, en el medio donde leemos suelen producirse toda clase de interrupciones o llamadas de atención en forma de enlaces a otras noticias o juegos”.",Lectura,El Tiempo,6/20/2015,NA,Debes Saber
2,5,La recordación es mayor cuando se leen impresos,"Asimismo, otros estudios han puesto en evidencia que la información que contiene un impreso, en muchas ocasiones, aporta más por la riqueza de su vocabulario. Incluso, una investigación desarrollada por University College of London, entre jóvenes de 12 a 18 años, concluyó que internet disminuye la capacidad de concentración, así como la habilidad de los muchachos para leer y escribir textos largos.",Lectura,El Tiempo,6/20/2015,NA,Debes Saber
